ckjg1,qywz1,qywz,zdsf1,sfbl,zxkp1,jfsj1,rjl1,lhl1,ghhs,ghhs1,ghhs2,wyglf1,wcb1
11500,DD,DD,NA,30%,2014,2015,NA,NA,82,8,1,NA,NA
9500,WW,WL,57.6,30%,2013,2014,NA,NA,93,9,1,2,1
14000,XC,XH,182,50%,2015,2016,3.5,0.35,113,11,1,15,0.2
36000,XC,XH,334.8,30%,2015,2016,1.33,0.7,127,13,1,8,3.6
12000,WW,WL,95.7,30%,2016,2017,0.68,0.45,144,14,1,3.2,NA
15000,WW,WL,48.6,30%,2015,2016,0.8,0.4,148,15,1,2.5,1
7600,WW,WL,10.5,30%,2014,2013,1.6,0.41,149,15,1,0.6,1.9
5800,WW,WL,14.1,30%,2016,2016,NA,NA,170,17,2,1.5,4.4
12500,QQ,QY,24.5,50%,2014,2014,2,0.4,200,20,2,1.8,2.6
7000,QQ,QY,16,50%,2016,2016,3.29,0.32,228,23,2,2.8,0.7
12000,DD,DD,42.6,30%,2017,2019,3.2,0.32,416,42,4,2.1,0.7
2600,JX,JX,NA,30%,2017,2017,1.7,0.32,253,25,3,0.6,0.7
14500,DD,DD,NA,30%,2016,2016,NA,NA,267,27,3,1.98,0.9
6800,NN,NC,27.9,30%,2015,2015,1.8,0.44,280,28,3,0.75,1
6600,XX,XJ,16.8,30%,2011,2013,NA,NA,288,29,3,1.2,0.3
13000,QSQS,QS,29.5,50%,2012,2014,NA,NA,304,30,3,2.6,0.7
14000,DD,DD,NA,30%,2017,2018,1.89,0.3,228,23,2,2.6,0.6
15600,QSQS,QS,42.3,30%,2015,2014,2.5,0.28,323,32,3,2,0.6
15000,DD,DD,34.2,30%,2017,2018,3.2,0.3,818,82,8,2.8,1.5
13000,HH,HG,84.5,50%,2017,2018,6.5,0.35,336,34,3,NA,1
14000,DD,DD,43.8,30%,2016,2015,NA,NA,347,35,3,2.8,1.8
8300,JN,JK,15,50%,2017,2018,3,0.21,355,36,4,2.3,3
18000,DD,DD,52.8,30%,2018,2019,3.29,0.36,1000,100,10,3.2,1.6
18500,DD,DD,60.6,30%,2017,2019,3.5,0.3,316,32,3,3.58,1.2
10500,XC,XH,30.5,50%,2017,2017,3.82,0.3,395,40,4,3,1.2
20000,XC,XH,NA,30%,2013,2015,NA,NA,404,40,4,2.2,NA
11000,GG,GG,NA,30%,2018,2019,1.8,0.3,1425,143,14,2.6,1.2
13800,GG,GG,51.9,30%,2018,2020,2,0.3,576,58,6,NA,1
12000,QQ,QY,23,50%,2017,2019,3.4,0.25,424,42,4,2.8,1.7
11875,HJ,HG,NA,30%,2017,2018,2.5,0.4,5052,505,51,2.8,0.8
3000,JX,JX,15.3,30%,2016,2016,NA,NA,430,43,4,0.6,1
10300,NN,NC,14.7,30%,2014,2015,NA,NA,431,43,4,1.2,0.7
13000,HJ,HG,NA,30%,2018,2019,2,0.35,1476,148,15,2.8,1
22000,HH,HG,NA,30%,2016,2016,5,0.46,437,44,4,4.5,1.6
12000,HJ,HG,23,50%,2018,2019,2.2,0.25,443,44,4,2.6,1.6
13000,QQ,QY,29.7,30%,2016,2015,2.8,0.33,464,46,5,1.8,1.1
16500,HJ,HG,51.9,30%,2018,2017,1.8,0.25,485,49,5,4.8,0.9
6100,NL,NC,14.5,50%,2014,2015,4.23,0.37,505,51,5,1.2,0.5
7500,NN,NC,23.1,30%,2014,2016,NA,NA,525,53,5,1.2,0.4
6500,HJ,HG,19,50%,2018,2020,4.2,0.2,527,53,5,1.8,2.6
6500,HJ,HG,19,50%,2018,2020,4.2,0.2,527,53,5,1.8,2.6
30000,GG,GG,193.5,30%,2015,2011,0.83,0.46,560,56,6,2.6,0.7
13500,HJ,HG,NA,30%,2018,2020,1.89,0.36,5026,503,50,3.8,1
25000,HF,HG,NA,30%,2016,2014,NA,NA,579,58,6,2.6,0.7
8500,XX,XJ,27.6,30%,2016,2017,NA,NA,580,58,6,1.8,0.8
9500,XC,XH,30.3,30%,2015,2015,NA,NA,616,62,6,1.9,1
3700,SS,SH,10.2,30%,2014,2016,NA,NA,618,62,6,0.5,0.7
12300,HJ,HG,20.5,50%,2018,2019,NA,0.3,618,62,6,3,1
15000,HJ,HG,56.4,30%,2018,2019,1.57,0.33,4105,411,41,2.5,0.6
20000,HJ,HG,111.6,30%,2018,2019,1.7,0.33,772,77,8,34,1.1
15600,XHXH,XH,20.4,30%,2016,2017,5.1,0.35,680,68,7,2.2,0.6
12800,HJ,HG,24.5,50%,2018,2019,NA,0.26,692,69,7,3.2,1.1
7400,WW,WL,16.2,30%,2016,2017,NA,NA,698,70,7,2,0.7
11000,QSQS,QS,22,50%,2015,2017,2.64,0.69,700,70,7,3.8,0.7
9500,JN,JK,24.9,30%,2018,2020,2,0.3,2420,242,24,2.86,0.8
10000,JN,JK,25.5,30%,2018,2019,2,0.35,766,77,8,1.8,1
11000,JN,JK,28.8,30%,2018,2020,2.35,0.3,1773,177,18,NA,1.1
11700,JN,JK,18.9,30%,2018,2019,2.3,0.35,3430,343,34,1.8,1
5400,SS,SH,18.6,30%,2016,2015,2,0.3,736,74,7,1,0.7
8000,GG,GG,23,50%,2016,2017,5.49,0.3,762,76,8,3.5,2.4
11700,JN,JK,18.9,30%,2018,2019,2.3,0.35,3430,343,34,1.8,1
20000,HF,HG,138,30%,2016,2017,3,0.4,770,77,8,2.9,2.4
6688,XX,XJ,18.9,30%,2015,2015,NA,NA,770,77,8,1.3,NA
12800,JN,JK,NA,30%,2017,2018,2.04,0.38,882,88,9,1.7,1.1
9900,GG,GG,27,30%,2016,2017,NA,NA,788,79,8,2.8,0.9
20000,XC,XH,124.2,30%,2016,2015,NA,NA,793,79,8,2.8,2
13000,JN,JK,36.3,30%,2018,2019,1.8,0.3,2500,250,25,2.75,0.9
5800,NL,NC,13,50%,2016,2016,NA,NA,822,82,8,1.2,0.7
9000,QQ,QY,90,50%,2013,2014,NA,NA,830,83,8,2.8,1
9000,XX,XJ,22.5,50%,2016,2017,NA,NA,832,83,8,1.8,1.2
10118,QSQS,QS,NA,30%,2017,2014,1.8,0.35,840,84,8,1.48,1
13500,JN,JK,NA,30%,2018,2019,2.3,0.3,1809,181,18,2.7,1
13500,JN,JK,NA,30%,2018,2019,2.3,0.3,1809,181,18,2.7,1
18000,JN,JK,87.6,30%,2017,2018,1.5,0.35,2404,240,24,3,NA
10500,HJ,HG,20,50%,2017,2018,2.9,0.28,890,89,9,2.5,2.2
15000,XC,XH,39.6,30%,2016,2016,2.2,0.35,900,90,9,2.3,0.9
7500,NL,NC,15.5,50%,2016,2018,3.3,0.2,900,90,9,2,0.7
6000,JX,JX,18.3,30%,2013,2018,2.72,0.37,1539,154,15,1.2,0.9
7800,JX,JX,21,30%,2018,2020,2.8,0.3,3872,387,39,1.38,1
12000,XC,XH,35.5,50%,2017,2018,5,0.19,920,92,9,2.9,2
8000,JX,JX,19.5,30%,2018,2019,2,0.42,2010,201,20,1.68,0.8
18500,HH,HG,127.2,30%,2016,2016,3.5,0.3,968,97,10,3,2.5
14500,XC,XH,NA,30%,2017,2017,2.2,0.35,981,98,10,2.7,0.9
6800,NL,NC,21.3,30%,2018,2020,2.6,0.35,666,67,7,NA,1.5
11000,GG,GG,14.5,50%,2017,2019,2.5,0.3,991,99,10,2.8,0.3
27000,HF,HG,180.6,30%,2013,2013,NA,NA,1000,100,10,2.3,1
19000,HH,HG,38,50%,2016,2018,5.5,0.31,1000,100,10,3.98,0.9
8800,NL,NC,28.8,30%,2018,2019,1.8,0.35,3291,329,33,1.8,1.1
8500,QSQS,QS,15.5,50%,2017,2018,2.2,0.35,1004,100,10,1.28,0.8
12000,NL,NC,31.5,30%,2017,2019,2.5,0.38,3567,357,36,1.68,1.1
16000,HJ,HG,32,50%,2017,2020,2.5,0.3,1026,103,10,2.6,1.1
7500,WW,WL,9,30%,2018,2011,1.6,0.46,1040,104,10,0.7,0.6
5800,GG,GG,13.8,30%,2015,2016,NA,NA,1065,107,11,1.95,0.8
7100,NL,NC,18.9,30%,2015,2016,NA,NA,1100,110,11,1.56,0.8
19000,HGHJ,HG,145.8,30%,2016,2017,1.63,0.35,1137,114,11,2.3,4.4
8000,NL,NC,NA,30%,2015,2016,NA,NA,1141,114,11,1.5,NA
20000,XC,XH,98.4,30%,2016,2017,NA,NA,1157,116,12,2.7,1
12000,JN,JK,81.5,50%,2017,2018,1.4,0.3,1172,117,12,1.8,2.3
20000,QQ,QY,118.2,30%,2015,2015,1.2,0.35,1200,120,12,2,1
16000,NL,NC,NA,30%,2017,2018,2.4,0.35,2138,214,21,1.58,0.9
9500,NN,NC,12,30%,2017,2018,2.87,0.34,3875,388,39,1.5,0.5
10000,NN,NC,27.9,30%,2017,2019,1.82,0.3,5500,550,55,1.5,0.7
8000,NX,NC,8,50%,2018,2019,2.5,0.3,1252,125,13,22,1.2
10500,NN,NC,34.8,30%,2018,2019,2.2,0.36,1300,130,13,1.35,0.6
11000,HJ,HG,98.5,50%,2017,2019,1.5,0.2,1281,128,13,3,0.3
10500,NN,NC,34.8,30%,2018,2019,2.2,0.36,1300,130,13,1.35,0.6
12700,NN,NC,34.8,30%,2018,2020,2.5,0.35,4080,408,41,3.2,1.2
13000,GG,GG,NA,30%,2015,2015,NA,NA,1382,138,14,2.5,1
5900,GG,GG,9,50%,2015,2016,NA,NA,1409,141,14,2.5,1.4
13300,NN,NC,NA,30%,2017,2019,2.7,0.5,7000,700,70,1.5,0.9
13000,XC,XH,51.6,30%,2015,2015,NA,NA,1428,143,14,2.38,1
15000,GG,GG,108,30%,2016,2016,1.6,0.35,1433,143,14,2.2,1.6
10000,GG,GG,16.5,50%,2014,2015,NA,NA,1436,144,14,1.98,0.8
6500,GG,GG,17.5,50%,2017,2019,2,0.32,1436,144,14,1.98,0.9
7100,NL,NC,23.7,30%,2015,2017,NA,NA,1450,145,15,1.2,NA
7100,NL,NC,23.7,30%,2015,2017,NA,NA,1450,145,15,1.2,NA
13500,NN,NC,46.5,30%,2018,2019,3.5,0.3,1520,152,15,2,7.2
9000,NX,NC,9.3,30%,2018,2019,2.5,0.3,1206,121,12,2,1.6
9000,NX,NC,9.3,30%,2018,2019,2.5,0.3,1206,121,12,2,1.6
8800,XX,XJ,12.9,30%,2018,2015,1.5,0.31,1523,152,15,1.3,NA
8800,XX,XJ,12.9,30%,2018,2015,1.5,0.31,1523,152,15,1.3,NA
12500,NX,NC,30,30%,2018,2019,2,0.35,707,71,7,3.3,1
12500,NX,NC,30.3,30%,2017,2019,1.8,0.35,11578,1158,116,1.8,0.9
17000,QQ,QY,75.3,30%,2015,2015,1.89,0.51,1644,164,16,2.2,1.5
25000,XC,XH,68.5,50%,2016,2017,NA,NA,1654,165,17,2.8,1
7400,WW,WL,15,50%,2017,2020,2.5,0.31,1718,172,17,1.5,1
13000,NX,NC,35.4,30%,2017,2018,1.8,0.37,327,33,3,1.6,1.4
15500,NX,NC,59.1,30%,2018,2020,2.5,0.3,876,88,9,2.8,1.5
12500,QQ,QY,NA,30%,2018,2018,2.2,0.31,703,70,7,1.8,0.7
12500,QQ,QY,NA,30%,2018,2018,2.2,0.31,703,70,7,1.8,0.7
9600,HF,HG,15,30%,2015,2014,NA,NA,1917,192,19,1.5,NA
18000,QSQS,QS,20,50%,2018,2020,2.5,0.35,1988,199,20,3,0.7
13000,QQ,QY,61.2,30%,2017,2018,2.5,0.35,904,90,9,2.2,0.2
9200,QSQS,QS,27.3,30%,2018,2019,2.3,0.3,651,65,7,2.2,1.1
14500,QSQS,QS,NA,30%,2018,2019,1.8,0.35,924,92,9,3.18,0.8
17000,QQ,QY,61.8,30%,2017,2017,2,0.35,2099,210,21,2.5,1.1
16500,QSQS,QS,61.8,30%,2018,2019,2,0.3,379,38,4,3.68,1.2
4800,SS,SH,15.6,30%,2017,2019,2,0.3,1270,127,13,1.5,0.8
6000,JN,JK,15,50%,2015,2015,NA,NA,2364,236,24,1.5,0.9
5500,SS,SH,17.4,30%,2018,2019,1.8,0.35,1872,187,19,1.3,0.6
7500,WW,WL,NA,30%,2017,2018,1.6,0.42,2009,201,20,1.5,0.8
7800,WW,WL,18.6,30%,2015,2018,1.2,0.35,731,73,7,1.5,1
8700,WW,WL,18.9,30%,2018,2018,2.1,0.35,386,39,4,1.8,NA
9000,WW,WL,NA,30%,2017,2018,2.5,0.35,887,89,9,1.8,0.9
8500,JN,JK,31.5,30%,2014,2016,NA,NA,2594,259,26,1.6,1.3
7800,XX,XJ,16.5,50%,2017,2019,2,0.28,3020,302,30,1.6,0.8
9300,WW,WL,NA,30%,2017,2019,1.8,0.4,1518,152,15,1.9,0.7
12000,HJ,HG,24.5,50%,2018,2020,2.2,0.35,3343,334,33,2.5,1.3
9800,WW,WL,25.8,30%,2018,2019,1.74,0.4,1988,199,20,3,1.1
10000,WW,WL,20.1,30%,2018,2019,1.6,0.4,1219,122,12,1.5,0.8
10000,WW,WL,30.9,30%,2018,2020,1.8,0.33,6610,661,66,2.6,0.9
10800,WW,WL,12.9,30%,2018,2019,1.01,0.35,731,73,7,NA,0.67
12000,NX,NC,79.8,30%,2016,2016,NA,NA,3783,378,38,1.45,0.6
11500,WW,WL,NA,30%,2018,2018,1.5,0.41,1543,154,15,2,0.7
13000,WW,WL,58.5,30%,2017,2019,0.6,0.5,3400,340,34,3,1.6
14000,WW,WL,76.5,30%,2017,2018,1.21,0.35,900,90,9,NA,0.5
11000,XC,XH,NA,30%,2017,2019,2.8,0.3,2851,285,29,2.6,0.5
11000,JN,JK,NA,30%,2016,2015,1.5,0.4,4613,461,46,1.2,0.2
8000,NX,NC,32,50%,2016,2018,1.4,0.36,4885,489,49,0.75,0.2
15500,XC,XH,NA,30%,2018,2019,2.2,0.3,334,33,3,4.8,1.2
15500,XC,XH,NA,30%,2018,2020,4.5,0.25,2500,250,25,NA,1.5
21000,XC,XH,145.2,30%,2017,2018,2,0.35,428,43,4,6.8,1.5
22000,XC,XH,107.7,30%,2018,2019,2.2,0.35,2378,238,24,3.5,1
7000,NX,NC,19.8,30%,2014,2015,NA,NA,6885,689,69,0.75,0.35
25000,XC,XH,80.1,30%,2018,2018,2.2,0.35,986,99,10,2.7,1.2
11800,XX,XJ,27.9,30%,2017,2019,3,0.32,2100,210,21,2,0.7
6500,NX,NC,16.2,30%,2014,2015,NA,NA,5742,574,57,1.2,0.14
16000,GG,GG,68.1,30%,2015,2016,NA,NA,592,59,6,2.5,1.6
12000,DD,DD,31.8,30%,2014,2014,NA,NA,771,77,8,1.8,0.6
8500,QSQS,QS,27.6,30%,2015,2015,NA,NA,820,82,8,1.8,1
12000,XX,XJ,174,30%,2018,2020,2,0.3,432,43,4,3.2,9.6
9800,HF,HG,22.2,30%,2015,2017,NA,NA,347,35,3,2.6,0.8
28000,HF,HG,150.6,30%,2016,2017,3.22,0.4,460,46,5,NA,7.7
13500,XX,XJ,41.1,30%,2017,2018,3.4,0.25,1008,101,10,2.8,0.7
6300,GG,GG,24.5,50%,2015,2016,NA,NA,1053,105,11,2,0.7
10900,JN,JK,NA,30%,2016,2017,1.5,0.4,825,83,8,1.6,1.5
7000,GJ,GG,9.3,30%,2015,2013,NA,NA,959,96,10,1.6,0.6
12000,HGHJ,HG,400,30%,2016,2017,NA,NA,1184,118,12,2.2,1.1
10000,HJ,HG,20.5,50%,2018,2020,2.56,0.35,4821,482,48,2.6,NA
10000,HJ,HG,20.5,50%,2018,2020,2.56,0.35,4445,445,44,2.6,NA
14000,GJ,GG,NA,30%,2013,2013,NA,NA,1095,110,11,3.18,NA
16300,XX,XJ,NA,30%,2017,2019,0.86,0.3,2418,242,24,3,1.1
6000,GAGA,GA,39,30%,2016,2017,NA,NA,226,23,2,NA,2
9000,NX,NC,21,50%,2018,2020,2.6,0.32,1994,199,20,1.9,1.7
33000,XX,XJ,75,30%,2017,2019,0.3,0.55,412,41,4,3.8,2.7
